text,Ad1,Ad2,Ad3,sum_labels,agreed_labels,percentual_labels,labels_numbers
Ce panică!,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 1, 2, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]","[0, 0.33, 0.66, 0, 0, 0, 0.33]",[3]
Gen il aud pe tata <|PROPN|> random <|PROPN|> during <|PROPN|> day înjurând ca nu i merg programele și mi se face asa o mila,"[1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0.33, 0, 0.33, 0, 0, 0]",[1]
"""Şi toamna, şi iarna Coboară-amândouă; Şi plouă, şi <|PROPN|> Şi ninge, şi plouă."" Moină, <|PROPN|> ","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
"Muie tuturor rețelelor sociale, nu au stors un ban de la mine de când există și mă folosesc de ele.","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0, 0.33, 0]",[4]
"Virgil Musta anunță că Spitalul <|PROPN|> din <|PROPN|> nu mai are locuri pentru pacienții <|PROPN|>: O parte dintre concetățeni nu repectă nicio regulă, dând crezare fake <|PROPN|>-urilor și teoriilor conspirației","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[2, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0.33, 0.33, 0, 0]",[1]
Florin Roman susţine că <|PROPN|> l-a insultat. Deputatul PNL a făcut trimitere la <|PROPN|> <|URL|> #news #stiri #romania,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 1, 0, 0]",[5]
credeam ca o sa omori pe cineva m- ai speriat nevasta,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",[3]
"Are ceva ce am citit doar despre că avea: când intră în cameră, toată lumea are un nod în gât de emoție și amuțește de cât de smerit e. <|PROPN|> de jovial.","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0.66, 0, 0, 0.33, 0, 0]",[2]
"Antrenamentele cognitive sunt extrem de utile, dar pot fi și foarte distractive.","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0.33, 0.66]",[7]
"Ca orice lucru nasol, incepe lunea","[1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0.33, 0, 0, 0, 0, 0]",[1]
